Artist,Id,Genres,New Name,name,id
,,,,Tommy Richman,1WaFQSHVGZQJTbf0BdxdNo
,,,,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg
,,,,Artemas,0PCCGZ0wGLizHt2KZ7hhA2
,,,,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6
,,,,Eminem,7dGJo4pcD2V6oG8kP0tJRR
,,,,Jack Harlow,2LIk90788K0zvyj2JJVwkJ
,,,,Benson Boone,22wbnEMDvgVIAGdFeek6ET
,,,,FloyyMenor,7CvTknweLr9feJtRGrpDBy
,,,,MUSIC LAB JPN,61ifFEOS4km183fkC64e8I
,,,,Central Cee,5H4yInM5zmHqpKIoMNAx4r
,,,,Post Malone,246dkjvS1zLTtiykXe5h60
,,,,Teddy Swims,33qOK5uJ8AR2xuQQAhHump
,,,,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH
,,,,Future,1RyvyyTE3xzB2ZywiAwp0i
,,,,Kids With Buns,1HF3WeoXOBYHlVkLn20lXz
,,,,Myke Towers,7iK8PXO48WeuP03g8YR51W
,,,,Taylor Swift,06HL4z0CvFAxyc27GXpf02
,,,,Tate McRae,45dkTj5sMRSjrmBSBeiHym
,,,,Harry Styles,6KImCVD70vtIoJWnq6nGn3
,,,,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
,,,,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B
,,,,Beyoncï¿,6vWDO969PvNqNYHIOW5v0m
,,,,official sound studio,5STLC4IOZOpecXjUU2PpCv
,,,,WZ Beat,7hL2l7lWkA75BpTp7bPEt9
,,,,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J
,,,,Pinkfong,7cTXfwpe9peK0UE1bZyIWZ
,,,,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR
,,,,JAY-Z,3nFkdlSjzX9mRTtwJOzDYB
,,,,LOVE BGM JPN,2N7xrdZ10zV0pdSw1DcNWY
,,,,BABYMONSTER,1SIocsqdEefUTE6XKGUiVS
,,,,Tyla,3SozjO3Lat463tQICI9LcE
,,,,Kenya Grace,7uMDnSZyUYNBPLhPMNuaM2
,,,,Hozier,2FXC3k01G6Gw61bmprjgqS
,,,,Tina Turner,1zuJe6b1roixEKMOtyrEak
,,,,Shaboozey,3y2cIKLjiOlp1Np37WiUdH
,,,,Gunna,2hlmm7s2ICUX0LVIhVFlZQ
,,,,Tones And I,2NjfBq1NflQcKSeiDooVjY
,,,,sped up 8282,1c0ChJZVluriMPwFrTAmly
,,,,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai
,,,,David Kushner,33NVpKoXjItPwUJTMZIOiY
,,,,Mitski,2uYWxilOVlUdk4oV9DvwqK
,,,,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we
,,,,Mae Stephens,311uEW9rt5g2NmzjGEKS2E
,,,,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG
,,,,Mvua,6mK4gMeS7p1vS724AecSUO
,,,,Rema,46pWGuE3dSwY3bMMXGBvVS
,,,,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V
,,,,Maian,14F4wy1bW1Buz1lD8I5YWE
,,,,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ
,,,,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp
,,,,Patati Patatï¿,5Hr6G2HwK68ZhkjPMwJgrB
,,,,Sam Smith,2wY79sveU1sp5g7SokKOiI
,,,,Edward Maya,6XwwFnewNgWp81MYMK8zLq
,,,,mitsu sound,18xgcedCGxFbqLbIQn5R8F
,,,,aespa,6YVMFz59CuY7ngCxTxjpxE
,,,,Bad Bunny,4q3ewBCX7sLwd24euuV69X
,,,,JUVENILE,0rG0AZBscc8S8q1ahIsasI
,,,,ýý$,5eBluOvPk819K9BZB1XV9v
,,,,SZA,7tYKF4w9nC0nq9CsPZTHyP
,,,,Guy Mac,7fj3pJOTCu7CxyEIJgaEKk
,,,,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq
,,,,Linkin Park,6XyY86QOPPrYVGvF9ch6wz
,,,,Bizarrap,716NhGYqD1jl2wI1Qkgq36
,,,,PowerDress,4ubjjmdSgfPMuDTSTeBH67
,,,,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq
,,,,Grupo Frontera,6XkjpgcEsYab502Vr1bBeW
,,,,Jawsh 685,56mfhUDKa1vec6rSLZV5Eg
,,,,Dave,2TI7qyDE0QfyOlnbtfDo7L
,,,,KAROL G,790FomKkXshlbRYZFtlgla
,,,,Farruko,329e4yvIujISKGKz1BZZbO
,,,,Dave Angel,2Fd3lWDA61b5dcoEwNvWuT
,,,,Eslabon Armado,0XeEobZplHxzM9QzFQWLiR
,,,,Yng Lvcas,1NNRWkhwmcXRimFYSBpB1y
,,,,21 Savage,1URnnhqYAYcrqrcwql10ft
,,,,Adele,4dpARuHxo51G3z768sgnrY
,,,,Lil Durk,3hcs9uc56yIGFCSy9leWe7
,,,,ILLIT,36cgvBn0aadzOijnjjwqMN
,,,,Darell,1TtXnWcUs0FCkaZDPGYHdf
,,,,Xavi,3Me35AWHCGqW4sZ7bWWJt1
,,,,PinkPantheress,78rUTD7y6Cy67W1RVzYs7t
,,,,Peso Pluma,12GqGscKJx3aE4t07u7eVZ
,,,,cassï¿,27FGXRNruFoOdf1vP8dqcH
,,,,Dj Samir,6U0dJxYVB41L8WDZ02Nwuk
,,,,Paul Russell,4zoRNhOhsGX3w8yBAnFSQ8
,,,,Peggy Gou,2mLA48B366zkELXYx7hcDN
,,,,Roddy Ricch,757aE44tKEUQEqRuT6GnEB
,,,,Jaxomy,1c3uso4iIeeX3P0bhKaQDq
,,,,Luke Combs,718COspgdWOnwOFpJHRZHS
,,,,Creepy Nuts,0pWR7TsFhvSCnbmHDjWgrE
,,,,Tollan Kim,78OVjYbRWhttVbxublN6GC
,,,,Dianï¿½,0NHykv7QVZ6hTpKdPe3qrf
,,,,3 Palavrinhas,6apif9UbguC36klKtjMKVL
,,,,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q
,,,,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY
,,,,Jere Klein,35oGZihZclGoTVuICPXRP9
,,,,Goovex,3m9pM517494DEg7CbwiKPT
,,,,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ
,,,,Exhumed,2OjtmMho2pBS86zQ1PliRu
,,,,24kGoldn,6fWVd57NKTalqvmjRd2t8Z
,,,,BTS,3Nrfpe0tUJi4K4DXYWgMUX
,,,,WasteLand,0cmvgYB81xcpV7594cXjse
,,,,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB
,,,,Shakira,0EmeFodog0BfCgMzAIvKQp
,,,,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz
,,,,DJ MOIGUS,5Y0oSIuwRXFeETW9xgDAa2
,,,,Shreya Ghoshal,0oOet2f43PA68X5RxKobEy
,,,,Olivia Rodrigo,1McMsnEElThX1knmY4oliG
,,,,Thullio Milionï¿½ï¿,17XNkHucIYWR7HhM7VUxG8
,,,,LOLA,67FB4n52MgexGQIG8s0yUH
,,,,Libianca,7kjSuFGKhLm8b5qXoMhRkJ
,,,,Afrian Af,5WIbZy6Y7zy1fkQHcW9ubp
,,,,G-Eazy,02kJSzxNuaWGqwubyUba0Z
,,,,J Ross,6GG84snEXeS6sy0DEr4VbS
,,,,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B
,,,,FLI:P,2U9wS8LxAOEzJ6SzdY0TIV
,,,,Justin Bieber,1uNFoZAHBGtllmzznpCI3s
,,,,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz
,,,,Cardi B,4kYSro6naA4h99UJvo89HB
,,,,ZICO,4XpUIb8uuNlIWVKmgKZXC0
,,,,Drake,3TVXtAsR1Inumwj472S9r4
,,,,Kurochuu,1deRPaTBVeIQtjtPEA7Tbb
,,,,Jung Kook,6HaGTQPmzraVmaVxvz6EUc
,,,,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM
,,,,Bruno Mars,0du5cEVh5yTK9QJze8zA0C
,,,,ýýýýýýýýýýýýýýý(ýýýýýýýýýýýýýýý),
,,,,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr
,,,,ROSALï¿½,7ltDVBr6mKbRvohxheJ9h1
,,,,DaBaby,4r63FhuTkUYltbVAg5TQnk
,,,,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2
,,,,Lizzo,56oDRnqbIiwx4mymNEv7dS
,,,,The Chainsmokers,69GGBxA162lTqCwzJG5jLp
,,,,JISOO,6UZ0ba50XreR4TM8u322gs
,,,,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF
,,,,Feid,2LRoIwlKmHjgvigdNGBHNo
,,,,Maluma,1r4hJ1h58CWwUQe3MxPuau
,,,,Justin Timberlake,31TPClRtHm23RisEBtV3X7
,,,,JVKE,164Uj4eKjl6zTBKfJLFKKK
,,,,Sexyy Red,3DbwFQlvLxRSi2uX8mf81A
,,,,Ariana DeBose,1Np9GsrPO7dlczjvdehBxs
,,,,RAYE,5KKpBU5eC2tJDzf0wmlRp2
,,,,Myles Smith,3bO19AOone0ubCsfDXDtYt
,,,,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj
,,,,Maroon 5,04gDigrS5kc9YWfZHwBETP
,,,,Kygo,23fqKkggKUBHNkbKtXEls4
,,,,Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs
,,,,BENNETT,1r43wW70tnGUauQYvY5w48
,,,,Halsey,26VFTg2z8YR0cCuwLzESi2
,,,,Lady Gaga,1HY2Jd0NmPuamShAr6KMms
,,,,Ayra Starr,3ZpEKRjHaHANcpk10u6Ntq
,,,,GAYLE,2VSHKHBTiXWplO8lxcnUC9
,,,,Kizz Daniel,1X6cBGnXpEpN7CmflLKmLV
,,,,Steve Lacy,57vWImR43h4CaDao012Ofp
,,,,LISA,5L1lO4eRHmJ7a0Q6csE5cT
,,,,Quevedo,52iwsT98xCoGgiGntTiR7K
,,,,TREASURE,3KonOYiLsU53m4yT7gNotP
,,,,BLACKPINK,41MozSoPIsD1dJM0CLPjZF
,,,,The Puddleducks,6h67d5Nz6ugnRbombXB7hi
,,,,Tinashe,0NIIxcxNHmOoyBx03SfTCD
,,,,Desiigner,7pFeBzX627ff0VnN6bxPR4
,,,,Loreen,49aaHxvAJ0tCh0F15OnwIl
,,,,Doechii,4E2rKHVDssGJm2SCDOMMJB
,,,,FIFTY FIFTY,4GJ6xDCF5jaUqD6avOuQT6
,,,,NewJeans,6HvZYsbFfjnjFrWF950C9d
,,,,Coi Leray,6AMd49uBDJfhf30Ak2QR5s
,,,,Vayah,3gXxLdFAQGWBEuG5MytWxt
,,,,Daddy Yankee,4VMYDCV2IEDYJArk749S6m
,,,,d4vd,5y8tKLUfMvliMe8IKamR32
,,,,Toosii,6BH1xcDkwbbyrLMUKECsW1
,,,,Luis R Conriquez,0pePYDrJGk8gqMRbXrLJC8
,,,,Bing Crosby,6ZjFtWeHP9XN7FeKSUe80S
,,,,Biomigrant,5H59BW8KCUmuwDMGVvuatk
,,,,iï¿½ï¿½igo quin,3QIR6VZLm2VnRo7OmclgIq
,,,,Joji,3MZsBdqDrRTJihTHQrO6Dq
,,,,YG Marley,0n4Fao9kbjgM76RmVlfSwr
,,,,Yandel,0eHQ9o50hj6ZDNBt6Ys1sD
,,,,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq
,,,,Wiz Khalifa,137W8MRPWKqSmrBGDBFSop
,,,,Lil Baby,5f7VJjfbwm532GiveGC0ZK
,,,,Kep1er,5R7AMwDeroq6Ls0COQYpS4
,,,,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp
,,,,David Jackson,7qxIst7kJUeN5Ie6I2wlKn
,,,,CKay,048LktY5zMnakWq7PTtFrz
,,,,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5
,,,,Oliver Tree,6TLwD7HPWuiOzvXEa3oCNe
,,,,thï¿½ï,5W16lONtcUU83MnA0hfiGM
,,,,D Billions,0qIpOhRDzOLVVxO7RAR3RZ
,,,,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR
,,,,Powfu,6bmlMHgSheBauioMgKv2tn
,,,,Katy Perry,6jJ0s89eD6GaHleKKya26X
,,,,Kali Uchis,1U1el3k54VvEUzo3ybLPlM
,,,,Selena,6IE6z7DcZIT4Ml3Fh5Ivch
,,,,Nicky Youre,7qmpXeNz2ojlMl2EEfkeLs
,,,,ATEEZ,68KmkJeZGfwe1OUaivBa2L
,,,,The Script,3AQRLZ9PuTAozP28Skbq8V
,,,,Cris Mj,1Yj5Xey7kTwvZla8sqdsdE
,,,,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4
,,,,Carin Leon,66ihevNkSYNzRAl44dx6jJ
,,,,El Chombo,6iSZjc4kOoKZKiBXK5HbwD
,,,,Isadora Pompeo,0f59qYByNYzspwAr7huTSB
,,,,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx
,,,,CJ,7arQA31aZVS8yS6zUveWzb
,,,,Marshmello,64KEffDW9EtZ1y2vBYgq8T
,,,,Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt
,,,,Pedro Capï¿,4QVBYiagIaa6ZGSPMbybpy
,,,,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo
,,,,Clean Bandit,6MDME20pz9RveH9rEXvrOM
,,,,,3IZrrNonYELubLPJmqOci2
,,,,Oliver Anthony Music,6IkfE2JyVoKwBZXvuytKX3
,,,,DJ TOPO,0xj9MJx9r0wO2o4aqdergP
,,,,KETTAMA,3an9rnsXKPCAMlZgH4A0n4
,,,,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz
,,,,ACRAZE,4pnp4w9g30yLfVIAFnZMRd
,,,,USHER,23zg3TcAtWQy7J6upgbUnj
,,,,Dasha,7Ez6lTtSMjMf2YSYpukP1I
,,,,Tam Sir,4WxmlzvtfZbTyGB1LvR02X
,,,,Popp Hunna,3fyhhXHbGVLuSHFk2SYx4I
,,,,Evan Loss,4mzKYnv5GDC0hsEwcnJdjo
,,,,Blush Response,3Mpl6q5GdubLhAFQsHLKGj
,,,,LIT killah,1vqR17Iv8VFdzure1TAXEq
,,,,Tyga,5LHRHt1k9lMyONurDHEdrp
,,,,Becky G,4obzFoKoKRHIphyHzJ35G3
,,,,Stephen Sanchez,5XKFrudbV4IiuE5WuTPRmT
,,,,Conkarah,7vPGzgDg3qGUY5bWtrO3K4
,,,,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B
,,,,ýýýýýýýýýý,
,,,,Yuridia,5B8ApeENp4bE4EE3LI8jK2
