Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Artist Genres,Streams,Views,Likes,Playlist Count,Playlist Reach
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,2024-04-26,QM24S2402528,0.0,1.0,0.09120000359951336,0.05202484455216966,0.7495198173700668,0.9578947368421052,0.005162966526507043,0.027492686140911465,0.1344452012691189,0.02775665349868993,0.022862535143550647,0.020658860218441995,0.2435897435897436,0.023047457264837073,0.09623784697759617,0.09667194928684629,0.3651349046717832,0.5406698564593301,0.012301419282303248,0.006065316020687145,0.015065346395968496,0.012144346150324333,False,[],0.04757041470404367,0.014012750835028846,0.027624669819800697,0.18780434198175536,0.37843786075343067
Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,USUG12400910,0.00020012007204322593,0.7457507082152974,0.07560557256005557,0.04761590200392621,0.6655289492631553,0.9578947368421052,0.00712784835794701,0.05595649857487794,0.01572724978385198,0.001500520070656581,0.0008932681956034339,0.021452213224199154,0.21794871794871795,0.022936646773277232,0.00028180921516133574,0.10459587955625992,0.21624261696823857,0.5263157894736842,0.005315590467265358,0.0075235841071262305,0.020707670659573345,0.005087833345743409,True,"['hip hop', 'west coast hip hop']",0.02496945793506657,0.004010558276775222,0.02872850932276726,0.1807999746179429,0.3010745931518643
i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,QZJ842400387,0.0004002401440864519,0.735127478753541,0.14044441329375557,0.09202376052480475,0.8066056074371496,0.9578947368421052,0.0075108765755546305,0.03576735234272824,0.07052212285599353,0.011721547685353224,0.01444534237190776,0.051275716758566355,0.2202797202797203,0.041810992175766816,0.07538396505565732,0.21394611727416799,0.7535989002330788,0.8181818181818181,0.003431631935048271,0.001491332390956569,0.02253853440635226,0.024046725418686694,False,[],0.05672190737331605,0.010978109473731195,0.02374445001404073,0.26918454973029354,0.5371600748095983
Flowers,Flowers - Single,Miley Cyrus,2023-01-12,USSM12209777,0.0006003602161296778,0.6026912181303116,0.4744353405249799,0.4569869798150717,0.5205736840817878,0.8842105263157894,0.06715165074086085,0.1705917852203475,0.1675946426012737,0.04595500037881338,0.06261450604585897,0.45971512401726555,0.458041958041958,0.8295588392460387,0.3073129491334367,0.41679873217115687,0.5121441622840887,0.9999999999999999,0.12999258666864164,0.05379773956543452,,0.05379087620838191,False,[],0.43532492889327423,0.06488307839335991,0.10827339279958045,0.47712508191872416,0.49747765679438066
Houdini,Houdini,Eminem,2024-05-31,USUG12403398,0.0008004802881729037,0.5720963172804533,0.024999336623505574,0.012232571295971653,0.577372502964273,0.9157894736842105,0.004740194958314011,0.058900578217505,0.000382261081171587,,,0.015468913800113695,0.21095571095571097,0.006853375782563942,0.0,0.12836767036450078,0.36641931883723694,0.4976076555023923,0.003070380011611192,0.0018529236251597669,0.0006477102282990881,0.002079287300955817,True,"['rap', 'hip hop']",0.007114160529195961,0.004740194958314011,0.058900578217505,0.17020330634874709,0.31975357853387454
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,USAT22311371,0.0010006003602161296,0.5533994334277621,0.15664356757586234,0.179357408903591,0.6686694778953722,0.863157894736842,0.00803462239320338,0.0223486151452114,0.09795725170063523,0.009156574784181054,0.012599826309681754,0.3933248086569783,0.15967365967365968,0.29364274022533343,0.6556291390728477,0.1347068145800317,0.3561829699080555,0.722488038277512,0.09464818568117521,0.013485210468846548,0.029510703026872295,0.020551602232233776,True,[],0.24601486711641818,0.010317224351442566,0.015752594964696227,0.24194222638072818,0.4727257521534687
Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,USWB12307016,0.0012007204322593554,0.5492917847025496,0.2102451200840546,0.12384504506335632,0.7684039431171081,0.894736842105263,0.01891360985675901,0.06613157894652376,,0.0012603158772896475,0.0022934870845647613,0.631243447618208,0.32517482517482516,0.2157019029030099,0.060307172044525854,0.2646592709984152,1.0,0.7320574162679425,0.04471604193880552,0.015175457715780296,,0.045452907561280564,False,[],0.13274255924259898,0.010603548470661885,0.0336959474119067,0.2921824030440639,0.7998824635784386
Gata Only,Gata Only,FloyyMenor,2024-02-02,QZL382406049,0.0014008405043025814,0.5048158640226629,0.15767445589777476,0.0679092330337014,0.8051924635134635,0.9578947368421052,0.01399161146616398,0.02310132147448272,0.08158506017680793,0.014422060020035175,0.016312423096289108,0.2898033630460084,0.18531468531468534,0.009686074439900777,0.004086233619839369,0.1362916006339144,0.6897733963189934,0.24880382775119617,0.0023041613867560134,0.0015238676666017726,,0.02758722734798392,True,['reggaeton chileno'],0.04343773133606773,0.015152017281226544,0.018761690747258947,0.1279686428800198,0.5949230742928218
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,2024-06-09,TCJPA2463708,0.0016009605763458075,0.47634560906515583,0.3860865440349845,0.0,5.3365166824295296e-08,,,,,,,,,,,,,,,,,,True,['budots'],0.3860865440349845,,,0.0,5.3365166824295296e-08
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,USSM12404354,0.0018010806483890333,0.4407932011331445,0.02117860262734406,0.01761375088712396,0.702130905036293,0.894736842105263,0.002005441465763995,0.015866453059110414,0.007594382461407517,0.005179063549893739,0.0041789071804230644,0.023966240587958026,0.22144522144522147,0.0021498360342218797,0.016344934479357476,0.1220285261489699,0.22407840233700055,0.43540669856459324,0.0006870780827793195,0.00022245664079362796,0.011504933349810531,0.003031472000792449,True,"['uk drill', 'drill', 'uk grime']",0.010373076914702652,0.00309217432309353,0.010522758304502076,0.15934333073734044,0.31672518265375055
