Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Artist Genres,Streams,Views,Likes,Playlist Count,Playlist Reach
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,2024-04-26,QM24S2402528,-1.731018598572235,17.73646801101523,-0.10571708884138446,-0.40316924237172724,5.837670405989888,1.7608675344761742,-0.4538525253363517,-0.2649455608043168,1.9754049968354415,0.980339757365943,0.7092818644276959,-0.288434744237516,2.170244309483235,-0.1107421170360271,0.7692682023069527,0.5470904558041473,4.586078865344172,3.4114720622206542,-0.403103339035156,-0.2490120312232138,-0.312250010189651,0.02320511577536665,False,[],-0.03250887055905318,0.12771466954567212,0.3576970982808131,1.095325110782619,3.378438175698848
Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,USUG12400910,-1.7302625889649006,13.078918065612944,-0.22973092323287303,-0.4397675254361705,5.095367080248614,1.7608675344761742,-0.40815367521678064,0.12120133235248946,-0.11041694266871116,-0.140820072164485,-0.1620227656383829,-0.27980792880731903,1.8629963474853295,-0.11228235677192096,-0.4585877234318663,0.6392272083586424,2.5674657450956815,3.296025992682182,-0.46401698324389296,-0.22787440840842066,-0.25606661645540163,-0.2336637055470095,True,"['hip hop', 'west coast hip hop']",-0.30413692062719094,-0.28508822042758175,-0.009809369905997768,1.0261215229363125,2.461008298845659
i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,QZJ842400387,-1.7295065793575664,12.884312914690842,0.28589630526553517,-0.07114140734797524,6.342189203979032,1.7608675344761742,-0.3992452773538978,-0.15268945831791084,0.8523047602946527,0.2956267340466695,0.37545465701709746,0.04448889569045899,1.89092798039423,0.1500665992581224,0.5024213931889715,1.9107143936106759,9.852694955933764,5.643429406631122,-0.48044435110158407,-0.31531200831615835,-0.23783580696035792,0.4564715489647692,False,[],0.044020827930137424,-0.011895310168400175,0.07146863786437933,1.8117236729943786,5.413124351867752
Flowers,Flowers - Single,Miley Cyrus,2023-01-12,USSM12209777,-1.728750569750232,10.45823536652865,2.9419403400309663,2.9583893841151996,3.814266195675389,1.3283497666253616,0.9878685714204665,1.676371072420913,2.557826030452208,1.7574250636155868,2.2858513687037423,4.4858048739126435,4.73995453710208,11.099576152396871,3.470190635136249,4.269415259005752,6.5791627301380995,7.1057462874517725,0.6231167540266918,0.44287032861677705,,1.5392081876092991,False,[],4.533705970397695,1.6368599700621043,1.71689806801825,3.9032751592583166,4.959744599908711
Houdini,Houdini,Eminem,2024-05-31,USUG12403398,-1.7279945601428974,9.897772531872999,-0.6321741638187196,-0.7334817525649522,4.31624876955446,1.51371452427571,-0.4636852665325541,0.16114142153920774,-0.3800216123674317,,,-0.3448695336926844,1.779201448758628,-0.33583603579939914,-0.4621937613929201,0.915637466022128,4.603492361544729,3.065133853605237,-0.4835943239561435,-0.31007073670581514,-0.4558134942577928,-0.343179793425005,True,"['rap', 'hip hop']",-0.47392235584499504,-0.4636852665325541,0.16114142153920774,0.9432840558230451,2.858290532468835
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,USAT22311371,-1.727238550535563,9.5552674662501,0.4147191671795285,0.6538082941832413,5.123122774418996,1.2047732615251296,-0.38706409615587034,-0.3347312593215416,1.3343278489795898,0.18610015091474644,0.30226119572916466,3.763885384341713,1.1647055247628175,3.6504685886860675,7.927253554998747,0.9893468680657241,4.464712653269783,4.873788943041306,0.3149276581406107,-0.14146052431630962,-0.1684104998550928,0.3292432425557104,True,[],2.4277916938299726,-0.04240145021335284,-0.07431555420339757,1.5080378211473557,4.450573604010164
Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,USWB12307016,-1.7264825409282285,9.480020141226888,0.8409824940722007,0.1930045565136055,6.004566518170823,1.3901380191754777,-0.13404266270642018,0.25923890838862107,,-0.15107700101602065,-0.10648986124295505,6.350981129650405,3.147851461294752,2.567109305618062,0.30949836227259314,2.500389609959445,13.193287679067287,4.950752989400287,-0.12046074301157551,-0.11696035929063787,,1.235692238879855,False,[],0.8992823547378201,-0.12026626197468762,0.05408095368630021,2.1350076515754903,8.516278442296171
Gata Only,Gata Only,FloyyMenor,2024-02-02,QZL382406049,-1.7257265313208943,8.66527324269969,0.42291724848857337,-0.2713141910546514,6.329699972019101,1.7608675344761742,-0.24851757063293517,-0.3245198650755361,1.0466756796916037,0.4109409693698413,0.4495033762445091,2.6382069059439432,1.4719534867607227,-0.29646219158639664,-0.40990621095764,1.0077742185766232,8.987378144736851,1.0640686482717145,-0.4902754451138887,-0.31484040889547643,,0.5853517172084641,True,['reggaeton chileno'],-0.193431649792338,0.10049290280578696,0.04321055214715261,0.5915283507317866,5.985095007566632
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,2024-06-09,TCJPA2463708,-1.7249705217135598,8.14373143822846,2.239351512719793,-0.8350233585163194,-0.7865141758559702,,,,,,,,,,,,,,,,,,True,['budots'],2.239351512719793,,,-0.8350233585163194,-0.7865141758559702
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,USSM12404354,-1.7242145121062253,7.492452866475829,-0.6625583356974506,-0.6888130067732748,5.418851693652668,1.3901380191754777,-0.5272896461803768,-0.42266982188386987,-0.25330782715585015,0.016256947245326683,-0.03171379961862905,-0.2524707284737626,1.9048937968486803,-0.4012141305788127,-0.2530435596517997,0.8419280639785318,2.673699717296631,2.5648675522718563,-0.5043757673007545,-0.3337043857227542,-0.34770279146972743,-0.3085186841346688,True,"['uk drill', 'drill', 'uk grime']",-0.433778916939709,-0.2795017228995029,-0.2032064373192716,0.8578344041206079,2.6133602274918455
